sampleid,x,y
204,214,1
205,443,1
206,276,1
207,143,1
208,596,1
209,502,1
210,57,1
211,586,1
212,675,1
213,309,1
214,388,1
215,330,1
216,742,1
217,615,1
218,8,1
219,943,1
220,149,1
221,483,1
222,661,1
223,380,1
224,4,1
225,317,1
226,430,1
227,314,1
228,832,1
229,70,1
230,729,1
231,499,1
232,168,1
233,464,1
234,66,1
235,309,1
236,806,1
237,30,1
238,430,1
239,508,1
240,61,1
241,118,1
242,662,1
243,996,1
244,577,1
245,751,1
246,305,1
247,105,1
248,755,1
249,586,1
250,545,1
251,103,1
252,129,1
253,737,1
254,498,1
255,107,1
256,376,1
257,438,1
258,613,1
259,445,1
260,267,1
261,231,1
262,178,1
263,661,1
264,556,1
265,507,1
266,997,1
267,276,1
268,203,1
269,455,1
270,680,1
271,572,1
272,85,1
273,338,1
274,49,1
275,356,1
276,351,1
277,290,1
278,464,1
279,53,1
280,876,1
281,855,1
282,534,1
283,59,1
284,713,1
285,86,1
286,337,1
287,581,1
288,492,1
289,738,1
290,29,1
291,471,1
292,86,1
293,509,1
294,331,1
295,411,1
296,884,1
297,307,1
298,35,1
299,642,1
300,672,1
301,101,1
302,253,1
303,777,1
304,701,1
305,242,1
306,704,1
307,965,1
308,291,1
309,241,1
310,37,1
311,561,1
312,259,1
313,374,1
314,943,1
315,352,1
316,500,1
317,111,1
318,399,1
319,370,1
320,404,1
321,505,1
322,633,1
323,989,1
324,487,1
325,544,1
326,904,1
327,196,1
328,712,1
329,732,1
330,675,1
331,443,1
332,134,1
333,522,1
334,736,1
335,835,1
336,877,1
337,685,1
338,46,1
339,116,1
340,691,1
341,671,1
342,266,1
343,319,1
344,382,1
345,144,1
346,669,1
347,664,1
348,288,1
349,822,1
350,494,1
351,950,1
352,888,1
353,5,1
354,702,1
355,800,1
356,508,1
357,905,1
358,84,1
359,697,1
360,887,1
361,61,1
362,356,1
363,70,1
364,902,1
365,1016,0
366,901,1
367,159,1
368,960,1
369,885,1
370,836,1
371,622,1
372,962,1
373,152,1
374,947,1
375,879,1
376,559,1
377,162,1
378,263,1
379,741,1
380,22,1
381,916,1
382,254,1
383,770,1
384,396,1
385,436,1
386,541,1
387,966,1
388,486,1
389,751,1
390,907,1
391,115,1
392,18,1
393,473,1
394,561,1
395,49,1
396,937,1
397,310,1
398,233,1
399,736,1
400,322,1
401,803,1
402,416,1
403,718,1
404,227,1
405,903,1
406,977,1
407,265,1
408,570,1
409,945,1
410,653,1
411,362,1
412,477,1
413,320,1
414,804,1
415,106,1
416,892,1
417,390,1
418,565,1
419,379,1
420,913,1
421,381,1
422,703,1
423,776,1
424,677,1
425,174,1
426,358,1
427,672,1
428,533,1
429,752,1
430,445,1
431,215,1
432,285,1
433,455,1
434,560,1
435,342,1
436,73,1
437,708,1
438,907,1
439,988,1
440,16,1
441,459,1
442,495,1
443,399,1
444,105,1
445,58,1
446,89,1
447,137,1
448,639,1
449,603,1
450,698,1
451,106,1
452,283,1
453,268,1
454,581,1
455,239,1
456,372,1
457,856,1
458,43,1
459,121,1
460,880,1
461,664,1
462,140,1
463,460,1
464,834,1
465,252,1
466,991,1
467,920,1
468,670,1
469,540,1
470,806,1
471,495,1
472,897,1
473,407,1
474,499,1
475,116,1
476,446,1
477,489,1
478,746,1
479,652,1
480,915,1
481,846,1
482,772,1
483,394,1
484,832,1
485,871,1
486,105,1
487,807,1
488,540,1
489,924,1
490,188,1
491,215,1
492,54,1
493,756,1
494,96,1
495,1005,0
496,850,1
497,234,1
498,895,1
499,964,1
500,298,1
501,311,1
502,956,1
503,534,1
504,315,1
505,672,1
506,638,1
507,777,1
508,413,1
509,941,1
510,640,1
511,365,1
512,36,1
513,383,1
514,802,1
515,756,1
516,773,1
517,636,1
518,689,1
519,568,1
520,692,1
521,705,1
522,1009,0
523,412,1
524,688,1
525,730,1
526,318,1
527,706,1
528,791,1
529,731,1
530,644,1
531,1013,0
532,43,1
533,810,1
534,223,1
535,666,1
536,55,1
537,962,1
538,149,1
539,742,1
540,881,1
541,576,1
542,300,1
543,91,1
544,718,1
545,995,1
546,383,1
547,253,1
548,267,1
549,247,1
550,625,1
551,993,1
552,290,1
553,61,1
554,3,1
555,515,1
556,129,1
557,372,1
558,861,1
559,78,1
560,722,1
561,647,1
562,412,1
563,976,1
564,37,1
565,408,1
566,325,1
567,630,1
568,378,1
569,917,1
570,147,1
571,569,1
572,808,1
573,72,1
574,225,1
575,564,1
576,9,1
577,586,1
578,453,1
579,571,1
580,611,1
581,182,1
582,590,1
583,623,1
584,257,1
585,580,1
586,645,1
587,808,1
588,965,1
589,313,1
590,575,1
591,869,1
592,212,1
593,186,1
594,874,1
595,339,1
596,557,1
597,503,1
598,936,1
599,240,1
600,856,1
601,233,1
602,809,1
603,888,1
604,1014,0
605,232,1
606,749,1
607,704,1
608,447,1
609,239,1
610,927,1
611,590,1
612,96,1
613,228,1
614,26,1
615,629,1
616,662,1
617,18,1
618,455,1
619,389,1
620,830,1
621,874,1
622,447,1
623,945,1
624,354,1
625,308,1
626,976,1
627,254,1
628,480,1
629,617,1
630,646,1
631,332,1
632,800,1
633,825,1
634,932,1
635,546,1
636,566,1
637,196,1
638,434,1
639,708,1
640,456,1
641,185,1
642,129,1
643,95,1
644,256,1
645,712,1
646,382,1
647,561,1
648,55,1
649,639,1
650,487,1
651,975,1
652,437,1
653,706,1
654,650,1
655,507,1
656,876,1
657,438,1
658,721,1
659,314,1
660,769,1
661,791,1
662,212,1
663,881,1
664,202,1
665,2,1
666,805,1
667,662,1
668,283,1
669,236,1
670,637,1
671,742,1
672,679,1
673,38,1
674,175,1
675,18,1
676,939,1
677,330,1
678,123,1
679,936,1
680,774,1
681,591,1
682,492,1
683,232,1
684,974,1
685,638,1
686,188,1
687,491,1
688,955,1
689,182,1
690,208,1
691,303,1
692,869,1
693,129,1
694,588,1
695,217,1
696,202,1
697,751,1
698,22,1
699,368,1
700,481,1
701,495,1
702,166,1
703,797,1
704,407,1
705,442,1
706,579,1
707,733,1
708,787,1
709,763,1
710,290,1
711,944,1
712,1020,0
713,874,1
714,463,1
715,460,1
716,755,1
717,678,1
718,2,1
719,727,1
720,760,1
721,904,1
722,452,1
723,381,1
724,386,1
725,908,1
726,710,1
727,810,1
728,871,1
729,251,1
730,457,1
731,660,1
732,344,1
733,784,1
734,836,1
735,359,1
736,590,1
737,909,1
738,301,1
739,282,1
740,385,1
741,106,1
742,425,1
743,493,1
744,697,1
745,241,1
746,160,1
747,993,1
748,760,1
749,632,1
750,481,1
751,896,1
752,1012,0
753,284,1
754,314,1
755,870,1
756,352,1
757,884,1
758,567,1
759,675,1
760,461,1
761,571,1
762,647,1
763,284,1
764,747,1
765,886,1
766,962,1
767,601,1
768,582,1
769,540,1
770,773,1
771,355,1
772,777,1
773,779,1
774,1010,0
775,592,1
776,30,1
777,696,1
778,67,1
779,818,1
780,140,1
781,720,1
782,809,1
783,229,1
784,789,1
785,532,1
786,649,1
787,792,1
788,976,1
789,190,1
790,620,1
791,753,1
792,343,1
793,394,1
794,626,1
795,681,1
796,729,1
797,749,1
798,212,1
799,572,1
800,686,1
801,607,1
802,848,1
803,545,1
804,305,1
805,720,1
806,430,1
807,302,1
808,239,1
809,687,1
810,215,1
811,518,1
812,360,1
813,1,1
814,402,1
815,845,1
816,843,1
817,312,1
818,81,1
819,419,1
820,192,1
821,717,1
822,218,1
823,610,1
824,119,1
825,112,1
826,987,1
827,520,1
828,532,1
829,291,1
830,533,1
831,523,1
832,838,1
833,5,1
834,8,1
835,773,1
836,708,1
837,429,1
838,699,1
839,846,1
840,881,1
841,150,1
842,503,1
843,779,1
844,500,1
845,322,1
846,758,1
847,991,1
848,856,1
849,282,1
850,201,1
851,1003,0
852,937,1
853,269,1
854,581,1
855,550,1
856,260,1
857,630,1
858,94,1
859,289,1
860,3,1
861,960,1
862,434,1
863,437,1
864,450,1
865,868,1
866,909,1
867,525,1
868,100,1
869,178,1
870,769,1
871,485,1
872,724,1
873,662,1
874,838,1
875,139,1
876,794,1
877,742,1
878,130,1
879,684,1
880,665,1
881,680,1
882,327,1
883,162,1
884,403,1
885,328,1
886,889,1
887,577,1
888,430,1
889,106,1
890,7,1
891,859,1
892,437,1
893,940,1
894,534,1
895,207,1
896,465,1
897,878,1
898,476,1
899,701,1
900,395,1
901,207,1
902,211,1
903,960,1
904,56,1
905,949,1
906,901,1
907,706,1
908,36,1
909,247,1
910,488,1
911,799,1
912,275,1
913,541,1
914,647,1
915,287,1
916,354,1
917,458,1
918,578,1
919,551,1
920,823,1
921,879,1
922,294,1
923,333,1
924,205,1
925,376,1
926,338,1
927,816,1
928,913,1
929,688,1
930,364,1
931,642,1
932,822,1
933,54,1
934,422,1
935,685,1
936,520,1
937,231,1
938,528,1
939,841,1
940,943,1
941,570,1
942,225,1
943,293,1
944,674,1
945,751,1
946,116,1
947,658,1
948,377,1
949,321,1
950,822,1
951,130,1
952,927,1
953,519,1
954,172,1
955,944,1
956,850,1
957,525,1
958,572,1
959,577,1
960,131,1
961,523,1
962,377,1
963,400,1
964,87,1
965,97,1
966,709,1
967,487,1
968,456,1
969,764,1
970,219,1
971,819,1
972,323,1
973,685,1
974,760,1
975,209,1
976,378,1
977,323,1
978,298,1
979,331,1
980,668,1
981,840,1
982,373,1
983,471,1
984,80,1
985,889,1
986,632,1
987,548,1
988,466,1
989,683,1
990,1013,0
991,146,1
992,592,1
993,77,1
994,584,1
995,526,1
996,524,1
997,1000,1
998,43,1
999,53,1
1000,315,1
1001,63,1
1002,661,1
1003,587,1
1004,757,1
1005,517,1
1006,383,1
1007,124,1
1008,841,1
1009,484,1
1010,950,1
1011,95,1
1012,10,1
1013,682,1
1014,897,1
1015,1018,0
1016,221,1
1017,966,1
1018,717,1
1019,403,1
1020,54,1
1021,945,1
1022,134,1
1023,331,1
1024,338,1
1025,756,1
1026,149,1
1027,4,1
1028,457,1
1029,873,1
1030,222,1
1031,613,1
1032,339,1
1033,349,1
1034,299,1
1035,255,1
1036,276,1
1037,286,1
1038,211,1
1039,209,1
1040,472,1
1041,529,1
1042,61,1
1043,892,1
1044,583,1
1045,43,1
1046,779,1
1047,734,1
1048,387,1
1049,767,1
1050,898,1
1051,284,1
1052,144,1
1053,914,1
1054,548,1
1055,881,1
1056,696,1
1057,194,1
1058,535,1
1059,746,1
1060,746,1
1061,418,1
1062,261,1
1063,616,1
1064,543,1
1065,326,1
1066,256,1
1067,132,1
1068,801,1
1069,138,1
1070,413,1
1071,355,1
1072,534,1
1073,18,1
1074,931,1
1075,939,1
1076,306,1
1077,674,1
1078,582,1
1079,893,1
1080,759,1
1081,670,1
1082,407,1
1083,890,1
1084,667,1
1085,302,1
1086,861,1
1087,918,1
1088,176,1
1089,464,1
1090,213,1
1091,833,1
1092,66,1
1093,794,1
1094,431,1
1095,622,1
1096,866,1
1097,746,1
1098,875,1
1099,332,1
1100,458,1
1101,289,1
1102,734,1
1103,843,1
1104,805,1
1105,456,1
1106,1016,0
1107,172,1
1108,576,1
1109,48,1
1110,375,1
1111,460,1
1112,929,1
1113,136,1
1114,583,1
1115,768,1
1116,942,1
1117,580,1
1118,196,1
1119,54,1
1120,123,1
1121,51,1
1122,362,1
1123,431,1
1124,833,1
1125,845,1
1126,187,1
1127,774,1
1128,736,1
1129,199,1
1130,916,1
1131,963,1
1132,604,1
1133,767,1
1134,109,1
1135,110,1
1136,32,1
1137,545,1
1138,952,1
1139,377,1
1140,787,1
1141,243,1
1142,614,1
1143,727,1
1144,443,1
1145,937,1
1146,458,1
1147,967,1
1148,332,1
1149,222,1
1150,988,1
1151,600,1
1152,115,1
1153,609,1
1154,353,1
1155,670,1
1156,134,1
1157,670,1
1158,991,1
1159,516,1
1160,439,1
1161,231,1
1162,417,1
1163,107,1
1164,261,1
1165,683,1
1166,564,1
1167,97,1
1168,80,1
1169,640,1
1170,216,1
1171,923,1
1172,728,1
1173,829,1
1174,382,1
1175,723,1
1176,337,1
1177,412,1
1178,492,1
1179,199,1
1180,713,1
1181,248,1
1182,546,1
1183,794,1
1184,308,1
1185,312,1
1186,199,1
1187,577,1
1188,294,1
1189,59,1
1190,660,1
1191,6,1
1192,864,1
1193,550,1
1194,55,1
1195,727,1
1196,850,1
1197,402,1
1198,544,1
1199,160,1
1200,640,1
1201,807,1
1202,592,1
1203,278,1
1204,994,1
1205,401,1
1206,692,1
1207,724,1
1208,782,1
1209,708,1
1210,929,1
1211,175,1
1212,887,1
1213,291,1
1214,427,1
1215,125,1
1216,778,1
1217,149,1
1218,904,1
1219,505,1
1220,337,1
1221,589,1
1222,851,1
1223,687,1
1224,658,1
1225,841,1
1226,733,1
1227,614,1
1228,726,1
1229,1017,0
1230,989,1
1231,570,1
1232,625,1
1233,699,1
1234,915,1
1235,400,1
1236,777,1
1237,861,1
1238,746,1
1239,826,1
1240,585,1
1241,154,1
1242,1024,0
1243,829,1
1244,608,1
1245,788,1
1246,1006,0
1247,317,1
1248,103,1
1249,481,1
1250,1003,0
1251,309,1
1252,290,1
1253,239,1
1254,519,1
1255,209,1
1256,64,1
1257,397,1
1258,558,1
1259,492,1
1260,702,1
1261,217,1
1262,550,1
1263,639,1
1264,600,1
1265,906,1
1266,148,1
1267,920,1
1268,375,1
1269,169,1
1270,404,1
1271,697,1
1272,444,1
1273,14,1
1274,993,1
1275,867,1
1276,245,1
1277,778,1
1278,1014,0
1279,314,1
1280,664,1
1281,250,1
1282,567,1
1283,74,1
1284,18,1
1285,881,1
1286,222,1
1287,535,1
1288,695,1
1289,401,1
1290,302,1
1291,374,1
1292,387,1
1293,966,1
1294,790,1
1295,610,1
1296,588,1
1297,477,1
1298,195,1
1299,339,1
1300,323,1
1301,720,1
1302,127,1
1303,772,1
1304,509,1
1305,960,1
1306,129,1
1307,796,1
1308,358,1
1309,43,1
1310,636,1
1311,507,1
1312,46,1
1313,519,1
1314,791,1
1315,942,1
1316,554,1
1317,15,1
1318,641,1
1319,658,1
1320,211,1
1321,628,1
1322,485,1
1323,292,1
1324,619,1
1325,209,1
1326,818,1
1327,562,1
1328,218,1
1329,284,1
1330,110,1
1331,524,1
1332,55,1
1333,586,1
1334,513,1
1335,311,1
1336,180,1
1337,564,1
1338,107,1
1339,295,1
1340,410,1
1341,234,1
1342,609,1
1343,773,1
1344,630,1
1345,296,1
1346,690,1
1347,351,1
1348,676,1
1349,587,1
1350,684,1
1351,549,1
1352,804,1
1353,838,1
1354,928,1
1355,960,1
1356,757,1
1357,762,1
1358,513,1
1359,295,1
1360,379,1
1361,835,1
1362,434,1
1363,656,1
1364,347,1
1365,687,1
1366,64,1
1367,354,1
1368,243,1
1369,40,1
1370,349,1
1371,14,1
1372,475,1
1373,355,1
1374,928,1
1375,271,1
1376,639,1
1377,858,1
1378,892,1
1379,973,1
1380,970,1
1381,180,1
1382,180,1
1383,238,1
1384,328,1
1385,913,1
1386,761,1
1387,979,1
1388,425,1
1389,396,1
1390,728,1
1391,269,1
1392,446,1
1393,403,1
1394,185,1
1395,804,1
1396,753,1
1397,950,1
1398,432,1
1399,666,1
1400,633,1
1401,390,1
1402,669,1
1403,724,1
1404,406,1
1405,739,1
1406,80,1
1407,777,1
1408,858,1
1409,634,1
1410,397,1
1411,45,1
1412,598,1
1413,7,1
1414,939,1
1415,610,1
1416,472,1
1417,458,1
1418,913,1
1419,576,1
1420,694,1
1421,400,1
1422,260,1
1423,247,1
1424,283,1
1425,846,1
1426,937,1
1427,798,1
1428,909,1
1429,210,1
1430,731,1
1431,700,1
1432,983,1
1433,805,1
1434,377,1
1435,913,1
1436,603,1
1437,782,1
1438,989,1
1439,524,1
1440,243,1
1441,377,1
1442,399,1
1443,853,1
1444,867,1
1445,402,1
1446,923,1
1447,391,1
1448,654,1
1449,239,1
1450,601,1
1451,273,1
1452,313,1
1453,62,1
1454,890,1
1455,622,1
1456,363,1
1457,444,1
1458,675,1
1459,767,1
1460,244,1
1461,453,1
1462,608,1
1463,141,1
1464,928,1
1465,356,1
1466,436,1
1467,451,1
1468,27,1
1469,968,1
1470,252,1
1471,911,1
1472,396,1
1473,752,1
1474,195,1
1475,346,1
1476,479,1
1477,187,1
1478,454,1
1479,359,1
1480,630,1
1481,520,1
1482,27,1
1483,113,1
1484,838,1
1485,171,1
1486,438,1
1487,91,1
1488,969,1
1489,495,1
1490,618,1
1491,596,1
1492,875,1
1493,336,1
1494,450,1
1495,9,1
1496,373,1
1497,802,1
1498,829,1
1499,843,1
1500,893,1
1501,197,1
1502,785,1
1503,43,1
1504,330,1
1505,406,1
1506,1014,0
1507,15,1
1508,13,1
1509,634,1
1510,733,1
1511,815,1
1512,766,1
1513,789,1
1514,246,1
1515,890,1
1516,854,1
1517,473,1
1518,433,1
1519,236,1
1520,549,1
1521,290,1
1522,512,1
1523,702,1
1524,386,1
1525,560,1
1526,272,1
1527,121,1
1528,411,1
1529,640,1
1530,241,1
1531,958,1
1532,643,1
1533,145,1
1534,280,1
1535,233,1
1536,128,1
1537,45,1
1538,963,1
1539,956,1
1540,362,1
1541,475,1
1542,494,1
1543,952,1
1544,261,1
1545,991,1
1546,382,1
1547,62,1
1548,217,1
1549,53,1
1550,131,1
1551,270,1
1552,902,1
1553,181,1
1554,230,1
1555,365,1
1556,282,1
1557,252,1
1558,229,1
1559,493,1
1560,152,1
1561,516,1
1562,999,1
1563,858,1
1564,125,1
1565,1000,1
1566,878,1
1567,495,1
1568,131,1
1569,205,1
1570,541,1
1571,750,1
1572,433,1
1573,396,1
1574,324,1
1575,187,1
1576,530,1
1577,16,1
1578,355,1
1579,20,1
1580,333,1
1581,427,1
1582,694,1
1583,503,1
1584,595,1
1585,354,1
1586,570,1
1587,33,1
1588,884,1
1589,677,1
1590,11,1
1591,332,1
1592,884,1
1593,417,1
1594,611,1
1595,530,1
1596,615,1
1597,486,1
1598,513,1
1599,105,1
1600,732,1
1601,235,1
1602,566,1
1603,307,1
1604,978,1
1605,809,1
1606,701,1
1607,392,1
1608,744,1
1609,640,1
1610,992,1
1611,789,1
1612,782,1
1613,1006,0
1614,889,1
1615,290,1
1616,849,1
1617,870,1
1618,849,1
1619,790,1
1620,613,1
1621,886,1
1622,491,1
1623,493,1
1624,335,1
1625,45,1
1626,451,1
1627,277,1
1628,231,1
1629,996,1
1630,460,1
1631,427,1
1632,146,1
1633,16,1
1634,415,1
1635,965,1
1636,188,1
1637,260,1
1638,512,1
1639,872,1
1640,991,1
1641,841,1
1642,165,1
1643,688,1
1644,694,1
1645,622,1
1646,48,1
1647,474,1
1648,348,1
1649,643,1
1650,952,1
1651,792,1
1652,952,1
1653,886,1
1654,283,1
1655,294,1
1656,822,1
1657,2,1
1658,576,1
1659,700,1
1660,601,1
1661,199,1
1662,876,1
1663,835,1
1664,596,1
1665,837,1
1666,156,1
1667,391,1
1668,303,1
1669,729,1
1670,522,1
1671,686,1
1672,772,1
1673,169,1
1674,47,1
1675,256,1
1676,93,1
1677,386,1
1678,886,1
1679,75,1
1680,516,1
1681,93,1
1682,870,1
1683,203,1
1684,180,1
1685,598,1
1686,702,1
1687,393,1
1688,729,1
1689,655,1
1690,338,1
1691,266,1
1692,466,1
1693,245,1
1694,576,1
1695,24,1
1696,745,1
1697,602,1
1698,901,1
1699,1021,0
1700,196,1
1701,59,1
1702,472,1
1703,395,1
1704,865,1
1705,580,1
1706,509,1
1707,286,1
1708,329,1
1709,468,1
1710,382,1
1711,988,1
1712,86,1
1713,770,1
1714,501,1
1715,791,1
1716,973,1
1717,493,1
1718,113,1
1719,518,1
1720,104,1
1721,194,1
1722,799,1
1723,857,1
1724,76,1
1725,788,1
1726,417,1
1727,288,1
1728,39,1
1729,894,1
1730,996,1
1731,630,1
1732,97,1
1733,156,1
1734,745,1
1735,471,1
1736,585,1
1737,782,1
1738,176,1
1739,589,1
1740,390,1
1741,488,1
1742,325,1
1743,574,1
1744,340,1
1745,315,1
1746,721,1
1747,826,1
1748,200,1
1749,147,1
1750,110,1
1751,369,1
1752,213,1
1753,279,1
1754,824,1
1755,130,1
1756,817,1
1757,97,1
1758,1024,0
1759,843,1
1760,567,1
1761,96,1
1762,186,1
1763,63,1
1764,704,1
1765,911,1
1766,70,1
1767,218,1
1768,805,1
1769,198,1
1770,825,1
1771,754,1
1772,890,1
1773,2,1
1774,116,1
1775,38,1
1776,39,1
1777,1015,0
1778,227,1
1779,336,1
1780,31,1
1781,123,1
1782,973,1
1783,253,1
1784,844,1
1785,599,1
1786,82,1
1787,386,1
1788,404,1
1789,121,1
1790,402,1
1791,919,1
1792,534,1
1793,933,1
1794,796,1
1795,867,1
1796,150,1
1797,266,1
1798,432,1
1799,558,1
1800,736,1
1801,413,1
1802,78,1
1803,677,1
1804,79,1
1805,40,1
1806,29,1
1807,768,1
1808,506,1
1809,330,1
1810,24,1
1811,707,1
1812,758,1
1813,26,1
1814,547,1
1815,600,1
1816,452,1
1817,861,1
1818,219,1
1819,218,1
1820,421,1
1821,994,1
1822,883,1
1823,151,1
1824,358,1
1825,640,1
1826,312,1
1827,698,1
1828,589,1
1829,553,1
1830,874,1
1831,713,1
1832,823,1
1833,499,1
1834,740,1
1835,192,1
1836,677,1
1837,904,1
1838,968,1
1839,384,1
1840,755,1
1841,49,1
1842,967,1
1843,254,1
1844,258,1
1845,737,1
1846,513,1
1847,743,1
1848,144,1
1849,423,1
1850,781,1
1851,129,1
1852,626,1
1853,688,1
1854,633,1
1855,979,1
1856,360,1
1857,389,1
1858,1,1
1859,738,1
1860,706,1
1861,362,1
1862,784,1
1863,973,1
1864,170,1
1865,711,1
1866,425,1
1867,359,1
1868,286,1
1869,425,1
1870,328,1
1871,396,1
1872,384,1
1873,830,1
1874,1004,0
1875,788,1
1876,775,1
1877,781,1
1878,900,1
1879,365,1
1880,882,1
1881,766,1
1882,974,1
1883,735,1
1884,373,1
1885,778,1
1886,642,1
1887,161,1
1888,996,1
1889,964,1
1890,699,1
1891,73,1
1892,605,1
1893,515,1
1894,936,1
1895,298,1
1896,584,1
1897,33,1
1898,982,1
1899,530,1
1900,186,1
1901,285,1
1902,453,1
1903,415,1
1904,497,1
1905,90,1
1906,356,1
1907,852,1
1908,469,1
1909,240,1
1910,647,1
1911,46,1
1912,486,1
1913,144,1
1914,908,1
1915,817,1
1916,31,1
1917,769,1
1918,801,1
1919,436,1
1920,785,1
1921,446,1
1922,456,1
1923,561,1
1924,578,1
1925,81,1
1926,862,1
1927,833,1
1928,959,1
1929,271,1
1930,427,1
1931,988,1
1932,618,1
1933,633,1
1934,928,1
1935,876,1
1936,218,1
1937,935,1
1938,41,1
1939,489,1
1940,115,1
1941,47,1
1942,743,1
1943,62,1
1944,514,1
1945,235,1
1946,828,1
1947,74,1
1948,48,1
1949,223,1
1950,821,1
1951,224,1
1952,414,1
1953,749,1
1954,922,1
1955,255,1
1956,262,1
1957,242,1
1958,359,1
1959,490,1
1960,234,1
1961,194,1
1962,322,1
1963,461,1
1964,812,1
1965,87,1
1966,789,1
1967,659,1
1968,26,1
1969,260,1
1970,357,1
1971,992,1
1972,999,1
1973,988,1
1974,160,1
1975,882,1
1976,960,1
1977,633,1
1978,245,1
1979,310,1
1980,566,1
1981,628,1
1982,653,1
1983,662,1
1984,717,1
1985,275,1
1986,268,1
1987,981,1
1988,34,1
1989,184,1
1990,261,1
1991,588,1
1992,517,1
1993,868,1
1994,320,1
1995,524,1
1996,469,1
1997,141,1
1998,699,1
1999,34,1
2000,787,1
2001,870,1
2002,240,1
2003,619,1
2004,325,1
2005,933,1
2006,723,1
2007,83,1
2008,61,1
2009,203,1
2010,204,1
2011,1014,0
2012,382,1
2013,307,1
2014,659,1
2015,121,1
2016,815,1
2017,760,1
2018,987,1
2019,224,1
2020,143,1
2021,620,1
2022,1018,0
2023,696,1
2024,731,1
2025,702,1
2026,696,1
2027,821,1
2028,488,1
2029,79,1
2030,173,1
2031,878,1
2032,812,1
2033,759,1
2034,578,1
2035,847,1
2036,889,1
2037,458,1
2038,724,1
2039,390,1
2040,625,1
2041,797,1
2042,244,1
2043,1002,0
2044,711,1
2045,237,1
2046,408,1
2047,605,1
2048,984,1
2049,387,1
2050,585,1
2051,658,1
2052,509,1
2053,748,1
2054,794,1
2055,433,1
2056,744,1
2057,546,1
2058,507,1
2059,629,1
2060,500,1
2061,577,1
2062,206,1
2063,1011,0
2064,670,1
2065,1002,0
2066,569,1
2067,926,1
2068,910,1
2069,693,1
2070,888,1
2071,658,1
2072,860,1
2073,931,1
2074,631,1
2075,784,1
2076,46,1
2077,121,1
2078,184,1
2079,783,1
2080,72,1
2081,341,1
2082,395,1
2083,795,1
2084,257,1
2085,326,1
2086,92,1
2087,654,1
2088,290,1
2089,634,1
2090,663,1
2091,73,1
2092,450,1
2093,324,1
2094,335,1
2095,879,1
2096,471,1
2097,167,1
2098,954,1
2099,518,1
2100,142,1
2101,275,1
2102,146,1
2103,1020,0
2104,880,1
2105,726,1
2106,554,1
2107,122,1
2108,707,1
2109,404,1
2110,552,1
2111,669,1
2112,495,1
2113,964,1
2114,375,1
2115,152,1
2116,635,1
2117,50,1
2118,796,1
2119,418,1
2120,644,1
2121,767,1
2122,961,1
2123,794,1
2124,919,1
2125,764,1
2126,437,1
2127,430,1
2128,932,1
2129,925,1
2130,611,1
2131,773,1
2132,618,1
2133,865,1
